,Date,Adilabad_Temp,Adilabad_Upper_Limit,Adilabad_Lower_Limit,Adilabad_HeatWave,Karimnagar_Temp,Karimnagar_Upper_Limit,Karimnagar_Lower_Limit,Karimnagar_HeatWave,Khammam_Temp,Khammam_Upper_Limit,Khammam_Lower_Limit,Khammam_HeatWave,Nizamabad_Temp,Nizamabad_Upper_Limit,Nizamabad_Lower_Limit,Nizamabad_HeatWave,Warangal_Temp,Warangal_Upper_Limit,Warangal_Lower_Limit,Warangal_HeatWave
213,01-05-2023,39.58171,42.90682474,36.25659689,0,38.33747,40.83033894,35.84460308,0,38.083206,40.39589118,35.77052118,0,39.236282,42.46997091,36.00259378,0,29.651142,38.27796687,21.02431737,0
214,02-05-2023,39.53515,42.86029153,36.21000571,0,37.990467,40.48335674,35.49757741,0,37.709854,40.02255929,35.39714896,0,39.08638,42.32009676,35.85266325,0,29.785519,38.41241861,21.15861868,0
215,03-05-2023,39.594498,42.91967043,36.26932493,0,38.428185,40.92109655,35.93527247,0,38.230453,40.54317941,35.91772757,0,39.4603,42.69404622,36.22655467,0,29.91148,38.53845733,21.28450257,0
216,04-05-2023,39.604088,42.92929128,36.27888438,0,38.388824,40.88175951,35.89588941,0,38.26206,40.57480552,35.94931099,0,39.505245,42.73902084,36.27146958,0,30.13152,38.75857633,21.5044623,0
217,05-05-2023,39.583534,42.90876923,36.25829925,0,38.32109,40.8140494,35.828132,0,38.243652,40.55642155,35.93088314,0,39.448177,42.68198364,36.21437103,0,30.095287,38.72242618,21.46814846,0
218,06-05-2023,39.511307,42.83657415,36.18603937,0,38.419216,40.91219914,35.92623317,0,38.294743,40.60753433,35.98195084,0,39.4606,42.69443962,36.22676399,0,29.900152,38.52737512,21.27292929,0
219,07-05-2023,39.127197,42.45249791,35.80189663,0,37.63799,40.13099696,35.14498113,0,37.155273,39.4680883,34.84245857,0,38.48199,41.71586096,35.24812067,0,29.99315,38.62045989,21.36584153,0
220,08-05-2023,38.726616,42.05195065,35.40128116,0,37.916634,40.40966709,35.42360012,0,37.4884,39.80123809,35.17556092,0,38.87908,42.11298504,35.64517841,0,29.868866,38.49626363,21.24146831,0
221,09-05-2023,38.525307,41.8506764,35.199937,0,38.024387,40.51744705,35.53132767,0,37.606037,39.91890004,35.29317424,0,38.923256,42.15719323,35.68931861,0,29.76674,38.39422915,21.13925245,0
222,10-05-2023,38.615646,41.94105187,35.29024086,0,38.007122,40.50020857,35.51403551,0,37.234528,39.54741539,34.92163979,0,39.01136,42.2453323,35.77738804,0,29.675697,38.30327857,21.04811608,0
223,11-05-2023,39.23909,42.56453213,35.9136478,0,37.978798,40.47191193,35.4856839,0,37.55113,39.86404169,35.23821509,0,38.4266,41.66060919,35.19259363,0,29.7086,38.33627545,21.08092273,0
224,12-05-2023,39.36283,42.68831079,36.03735144,0,38.094448,40.58759023,35.60130595,0,37.160767,39.47370599,34.84782721,0,38.98193,42.21597404,35.74788552,0,29.658531,38.28630487,21.03075751,0
225,13-05-2023,38.837837,42.16335526,35.51231918,0,38.259842,40.75301282,35.76667102,0,37.618435,39.93140098,35.30546883,0,39.294125,42.52820617,36.06004303,0,29.449404,38.07727697,20.82153055,0
226,14-05-2023,38.620525,41.94608261,35.29496811,0,38.426807,40.9200077,35.9336071,0,37.608063,39.92105609,35.2950694,0,39.32086,42.55498152,36.08674211,0,29.322119,37.95009371,20.69414381,0
227,15-05-2023,39.212765,42.53836206,35.88716742,0,38.411934,40.90516424,35.91870356,0,37.633625,39.94664625,35.32060382,0,39.140728,42.37488667,35.90656933,0,29.449059,38.07713744,20.82097963,0
228,16-05-2023,39.14359,42.46922726,35.81795078,0,38.43894,40.93219916,35.94567712,0,38.012226,40.32527578,35.69917643,0,39.37105,42.60525025,36.13685332,0,28.956087,37.58427218,20.32790205,0
229,17-05-2023,38.550552,41.87623238,35.22487236,0,38.746,41.23929072,36.25270605,0,37.861176,40.17425427,35.54809681,0,39.47319,42.7074294,36.23895122,0,28.72975,37.35804312,20.10145624,0
230,18-05-2023,38.490314,41.81603712,35.16459185,0,38.370625,40.86394883,35.87730025,0,37.690205,40.00331299,35.37709625,0,38.512653,41.74693389,35.27837281,0,28.607473,37.2358774,19.97906935,0
231,19-05-2023,38.216225,41.54199078,34.89045856,0,38.463005,40.95636195,35.96964818,0,37.392628,39.70576633,35.0794891,0,38.82209,42.05641297,35.58776733,0,28.625202,37.253719,19.99668536,0
232,20-05-2023,38.686573,42.01238347,35.36076259,0,38.307987,40.80137733,35.8145971,0,37.800762,40.11393162,35.48759273,0,38.333824,41.56819009,35.09945823,0,28.55036,37.17899155,19.9217279,0
233,21-05-2023,37.957382,41.28323782,34.63152659,0,38.375183,40.86860709,35.88175912,0,37.53739,39.85059253,35.2241908,0,38.545185,41.77959495,35.31077522,0,28.725447,37.35419574,20.09669766,0
234,22-05-2023,38.33124,41.65714325,35.00533996,0,38.057503,40.55096124,35.56404425,0,38.092445,40.40567825,35.77921249,0,38.58925,41.82370329,35.35479403,0,28.634626,37.26349485,20.00575793,0
235,23-05-2023,38.75363,42.07958012,35.42768306,0,37.91065,40.40414199,35.4171547,0,37.93995,40.25321452,35.62668355,0,37.77658,41.01108103,34.54208059,0,28.862013,37.49100296,20.23302277,0
